timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772269118225,221,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-3,text,true,,328802,324,5,5,https://baomoi.com/the-thao.epi,108,0,0
1772269119319,206,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-2,text,true,,328810,324,6,6,https://baomoi.com/the-thao.epi,88,0,0
1772269121009,262,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-5,text,true,,395648,340,6,6,https://baomoi.com/kham-pha-viet-nam-top335.epi,137,0,33
1772269121373,209,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,395639,340,6,6,https://baomoi.com/kham-pha-viet-nam-top335.epi,77,0,0
1772269121614,152,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-3,text,true,,395576,340,6,6,https://baomoi.com/kham-pha-viet-nam-top335.epi,88,0,0
1772269121949,206,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-4,text,true,,395648,340,6,6,https://baomoi.com/kham-pha-viet-nam-top335.epi,96,0,0
1772269125302,335,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-6,text,true,,395758,340,7,7,https://baomoi.com/kham-pha-viet-nam-top335.epi,118,0,37
1772269125383,278,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-3,text,true,,328818,324,7,7,https://baomoi.com/the-thao.epi,92,0,0
1772269125801,267,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-2,text,true,,395672,340,7,7,https://baomoi.com/kham-pha-viet-nam-top335.epi,128,0,0
1772269125960,223,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-5,text,true,,328810,324,7,7,https://baomoi.com/the-thao.epi,115,0,0
1772269127373,202,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-4,text,true,,328802,324,7,7,https://baomoi.com/the-thao.epi,92,0,0
1772269128186,199,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,328842,324,7,7,https://baomoi.com/the-thao.epi,97,0,0
